model,target,strategy,threshold,cost_bps,n_obs,active_rate,hit_rate,cum_return,mean_ret,std_ret,sharpe
baseline_last,y_BTC-USD,long_flat,0.0,1.0,1500,0.506,0.2526666666666666,0.662099148997408,0.0004604076481378,0.0157083552887643,0.4652775352831886
baseline_last,y_BTC-USD,long_short,0.0,1.0,1500,1.0,0.4933333333333333,-0.3989670616455779,-5.224097362473712e-05,0.0240180650396867,-0.03452816641904
baseline_last,y_BTC-USD,long_flat,0.0005,1.0,1500,0.488,0.2446666666666666,0.6295445783029059,0.0004456193087772,0.0156065047622633,0.4532717178098106
baseline_last,y_BTC-USD,long_short,0.0005,1.0,1500,0.9633333333333334,0.4706666666666667,-0.4615561216162591,-0.0001282193024268,0.0239065883468011,-0.0851404765695287
baseline_last,y_BTC-USD,long_flat,0.001,1.0,1500,0.4726666666666667,0.2366666666666666,0.722008926945382,0.0004784954259805,0.0153546068566821,0.4946970947974903
baseline_last,y_BTC-USD,long_short,0.001,1.0,1500,0.926,0.4486666666666666,-0.5078971711612459,-0.0001970473660686,0.0235328078139612,-0.1329220884917835
baseline_last,y_BTC-USD,long_flat,0.002,1.0,1500,0.4506666666666666,0.2233333333333333,0.7623562185576858,0.000485216215011,0.014783214268738,0.5210347683575777
baseline_last,y_BTC-USD,long_short,0.002,1.0,1500,0.884,0.4233333333333333,-0.5438285646612611,-0.0002587362822138,0.0230580614528809,-0.1781290745415459
baseline_last,y_BTC-USD,long_flat,0.003,1.0,1500,0.4233333333333333,0.2053333333333333,0.1911419868910737,0.0002173292135909,0.0143137141069264,0.241027191473341
baseline_last,y_BTC-USD,long_short,0.003,1.0,1500,0.842,0.3986666666666666,-0.6460370403239883,-0.000437533428513,0.0226241157681977,-0.3070010746011385
baseline_last,y_BTC-USD,long_flat,0.005,1.0,1500,0.382,0.184,-0.0171022426861985,8.21080588061098e-05,0.0138012283458847,0.0944426824008062
baseline_last,y_BTC-USD,long_short,0.005,1.0,1500,0.7493333333333333,0.352,-0.7263918634635289,-0.0006296039767817,0.0216867198756359,-0.4608651441733238
baseline_last,y_GLD,long_flat,0.0,1.0,823,0.4301336573511543,0.221142162818955,0.1720786661376465,0.0002348532069152,0.0090621427891886,0.4114014938133222
baseline_last,y_GLD,long_short,0.0,1.0,823,0.7193195625759417,0.3195625759416768,-0.2996298525556092,-0.0003734126548921,0.0108070994028086,-0.5485044512455958
baseline_last,y_GLD,long_flat,0.0005,1.0,823,0.4155528554070474,0.2102065613608748,0.1129581048367431,0.0001717516087645,0.0090399192894573,0.3016036069677955
baseline_last,y_GLD,long_short,0.0005,1.0,823,0.6974483596597812,0.3049817739975698,-0.3210791645622596,-0.0004115409562204,0.0107746939685152,-0.6063290675310746
baseline_last,y_GLD,long_flat,0.001,1.0,823,0.3948967193195625,0.2041312272174969,0.1334131022497005,0.0001937040661236,0.0090199234558513,0.3409071857961938
baseline_last,y_GLD,long_short,0.001,1.0,823,0.6585662211421628,0.2928311057108141,-0.3012000344105634,-0.0003779965903128,0.0106327380921742,-0.5643428620521239
baseline_last,y_GLD,long_flat,0.002,1.0,823,0.3730255164034022,0.1931956257594167,0.1243458790318656,0.000183120252718,0.0089285126481884,0.3255798593573664
baseline_last,y_GLD,long_short,0.002,1.0,823,0.6026731470230863,0.275820170109356,-0.2374712760669491,-0.0002738157737636,0.0104598393953195,-0.4155599804426146
baseline_last,y_GLD,long_flat,0.003,1.0,823,0.3377885783718105,0.181044957472661,0.6038900862583316,0.0005978783293175,0.0069017453606949,1.3751629111014017
baseline_last,y_GLD,long_short,0.003,1.0,823,0.5443499392466585,0.2600243013365735,0.170746075728142,0.0002299819860512,0.0087792600179147,0.4158494952021814
baseline_last,y_GLD,long_flat,0.005,1.0,823,0.2782503037667072,0.157958687727825,0.5656198740173404,0.0005656822072491,0.0064775352943086,1.3863184437979217
baseline_last,y_GLD,long_short,0.005,1.0,823,0.4520048602673147,0.2332928311057108,0.394220889720452,0.0004366562581365,0.0081099504294689,0.8547158536886904
baseline_last,y_TLT,long_flat,0.0,1.0,823,0.3645200486026732,0.1773997569866342,-0.289436530519552,-0.0004041804233756,0.0046619649675023,-1.3762791773516083
baseline_last,y_TLT,long_short,0.0,1.0,823,0.715674362089915,0.3487241798298906,-0.3393357299822497,-0.0004819141494144,0.0065661783872662,-1.1650840876694823
baseline_last,y_TLT,long_flat,0.0005,1.0,823,0.3572296476306197,0.1725394896719319,-0.2901564240419189,-0.0004054734570216,0.0046486840002144,-1.3846266132101936
baseline_last,y_TLT,long_short,0.0005,1.0,823,0.6865127582017011,0.3256379100850546,-0.3912044451574952,-0.0005816614095288,0.0064966895585863,-1.421275949523625
baseline_last,y_TLT,long_flat,0.001,1.0,823,0.3268529769137303,0.1652490886998785,-0.2292630579292127,-0.0003067506683375,0.0043734025904075,-1.1134387463492903
baseline_last,y_TLT,long_short,0.001,1.0,823,0.6318347509113001,0.3086269744835966,-0.2969742446313322,-0.000408684090499,0.0062151315871541,-1.043848986705881
baseline_last,y_TLT,long_flat,0.002,1.0,823,0.2952612393681652,0.1494532199270959,-0.1977775396827324,-0.0002587831221913,0.0042186527797627,-0.9737835568315428
baseline_last,y_TLT,long_short,0.002,1.0,823,0.5698663426488457,0.2806804374240583,-0.1716460135870644,-0.0002116541931172,0.0058469641421194,-0.5746411422963396
baseline_last,y_TLT,long_flat,0.003,1.0,823,0.2490886998784933,0.1312272174969623,-0.1048961038102357,-0.0001266050214832,0.0039980823749735,-0.5026890946621853
baseline_last,y_TLT,long_short,0.003,1.0,823,0.4848116646415553,0.2539489671931956,0.0227808870487919,4.24662264357634e-05,0.0054882194312689,0.1228322690177964
baseline_last,y_TLT,long_flat,0.005,1.0,823,0.1822600243013366,0.0899149453219927,-0.1663078188831117,-0.0002151961116243,0.0033892415853736,-1.0079341589395718
baseline_last,y_TLT,long_short,0.005,1.0,823,0.3681652490886998,0.1859052247873633,-0.1073514565551356,-0.0001262280263185,0.004838903322277,-0.4141037055912279
baseline_last,y_UUP,long_flat,0.0,1.0,823,0.3900364520048602,0.2017010935601458,-0.0926279896432135,-0.0001134508381705,0.0030454983489024,-0.5913568213344857
baseline_last,y_UUP,long_short,0.0,1.0,823,0.701093560145808,0.3159173754556501,-0.2825513008724142,-0.0003952700149979,0.0040263160807149,-1.5584263223859651
baseline_last,y_UUP,long_flat,0.0005,1.0,823,0.3669501822600243,0.2004860267314702,-0.0550107122124952,-6.419877201055643e-05,0.0030122893542867,-0.3383220505837802
