model,strategy,threshold,cost_bps,n_targets,avg_cum_return,avg_sharpe,avg_hit_rate,avg_active_rate,avg_mean_ret,avg_std_ret
mlp,long_flat,0.0,1.0,15,0.2167672833338296,0.3693500585595554,0.2690371270419873,0.5085370055353045,0.0002076343705316,0.0085444652512157
knn,long_flat,0.005,1.0,15,-0.0161121442966901,0.3676755708572429,0.0239227757526663,0.0309027136492507,-7.176377903140372e-06,0.0016566386931278
mlp,long_flat,0.001,1.0,15,0.21072424310238,0.360965838502704,0.2583782368030241,0.4876973673552046,0.0001980863511125,0.0083646301816477
mlp,long_flat,0.0005,1.0,15,0.1864826145660933,0.3433369992649821,0.2634083974618604,0.4984007020386121,0.0001856903091896,0.0084309302090993
rf,long_flat,0.0,1.0,15,0.2298042650519929,0.3305272730775217,0.2922452274875118,0.5590815714864318,0.0001616876314148,0.0087594519879372
mlp,long_flat,0.002,1.0,15,0.194743193297045,0.3164719132754111,0.2480354799513973,0.4680857027136492,0.000172129742114,0.0082263829028927
rf,long_flat,0.0005,1.0,15,0.175826201151677,0.3044391899253355,0.2443343323882813,0.4606755231537734,0.0001370475069128,0.0079003231902384
mlp,long_flat,0.003,1.0,15,0.1982563537522355,0.2868416434513034,0.2379228297556365,0.4487851491832051,0.0001623583528702,0.0080957272434684
knn,long_flat,0.0005,1.0,15,0.0537186431600129,0.2001145288865967,0.1652346159038747,0.3032101525583907,6.473972628351158e-05,0.0060828550542788
mlp,long_flat,0.005,1.0,15,0.1447333899509459,0.1920412039645292,0.217297529364115,0.4095281220467126,0.0001074642341888,0.007607045728278
rf,long_flat,0.003,1.0,15,0.1724425955609041,0.1896504473017015,0.0707805589307411,0.1215057108140947,8.304209922181549e-05,0.0041366657857646
knn,long_flat,0.001,1.0,15,0.0508310505938027,0.1664163607303487,0.1307604158228702,0.2374782773052518,5.417077116416362e-05,0.0054245106848155
knn,long_flat,0.0,1.0,15,0.0602893498461204,0.1410228180035652,0.1989826380450924,0.3701363034966923,6.345564971208716e-05,0.0066379838039925
rf,long_flat,0.001,1.0,15,0.1078630185106799,0.124646033626554,0.1934183880113406,0.3650444174429593,7.268709547095367e-05,0.0071679450674735
rf,long_flat,0.002,1.0,15,0.0900609079342583,0.1031629055812817,0.1179652760901849,0.2170751451329823,5.579324598582108e-05,0.0054387858904556
rf,long_flat,0.005,1.0,15,0.0981590863854534,0.0267543681495939,0.0302554340488726,0.0426841636289996,3.8570307101140814e-05,0.0022106424483711
baseline_last,long_flat,0.005,1.0,15,0.0231733892219621,-0.0007632747729399,0.1217036857027136,0.217852247873633,2.5914989131559065e-05,0.0057728314952864
baseline_last,long_flat,0.003,1.0,15,0.0118913190868562,-0.0517011252556964,0.1516394761711894,0.2786069933846361,-8.7251298403775e-06,0.0063392803650709
baseline_last,long_flat,0.002,1.0,15,0.013308002412056,-0.1355259560381315,0.1686353449439719,0.315423140272715,-2.6244619699959748e-05,0.0067350601120974
ridge,long_flat,0.0,1.0,15,-0.062187424723027,-0.2009494766602294,0.2525595247738625,0.496771270419873,-5.876712455744004e-05,0.0088083759941415
ridge,long_flat,0.0005,1.0,15,-0.0653542600939513,-0.2033206035057828,0.2462383151073309,0.4838127176994735,-6.198873620192042e-05,0.0086665777956223
knn,long_flat,0.002,1.0,15,-0.0423669982932819,-0.2198165539430203,0.0748666396651815,0.1381625489401917,-5.430198543761671e-05,0.00419165018078
baseline_last,long_flat,0.001,1.0,15,-0.0188962743998259,-0.2339313780649558,0.1828089644930471,0.3480765222087215,-5.036031830438135e-05,0.0070615581052028
baseline_last,long_flat,0.0005,1.0,15,-0.0316368735609608,-0.2516538562540399,0.1900656676117186,0.364408586472256,-6.49145918738605e-05,0.0071500126943647
ridge,long_flat,0.001,1.0,15,-0.090669174830773,-0.2551790485303667,0.2398361009855542,0.4727903874713109,-9.407823710803851e-05,0.0085653603414407
baseline_last,long_flat,0.0,1.0,15,-0.0383010543690661,-0.3047260180877991,0.194973241528284,0.3773542324827865,-8.219244528103915e-05,0.0071936464367232
knn,long_flat,0.003,1.0,15,-0.0530499848237469,-0.3262398812149145,0.0479380585932226,0.0822465775617658,-5.324098927171755e-05,0.0031071771689065
ridge,long_flat,0.002,1.0,15,-0.1112926156996956,-0.3304682250471585,0.2270553260429323,0.4473621709194005,-0.000123311766112,0.0083492467732186
ridge,long_flat,0.003,1.0,15,-0.1334546517016804,-0.3870852857870165,0.2148860267314702,0.4239067368705279,-0.0001517318159355,0.0080780909564655
ridge,long_flat,0.005,1.0,15,-0.1742078488737513,-0.5325330686018503,0.1916943971918455,0.379308437964088,-0.0002117697585736,0.007667311539939
baseline_zero,long_flat,0.0,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.0005,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.001,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.002,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.003,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
baseline_zero,long_flat,0.005,1.0,15,0.0,,0.0080194410692588,0.0,0.0,0.0
rf,long_short,0.005,1.0,15,0.103693870621772,0.2217365596661694,0.0417573106520858,0.0669452679897394,6.251258205630062e-05,0.0033493794480289
rf,long_short,0.003,1.0,15,0.0968545437645859,0.0754453981793364,0.1048761981909005,0.2017723774807614,3.959847133105928e-05,0.0056359671485357
rf,long_short,0.0005,1.0,15,0.0375492783084857,-0.0088022149016439,0.3982068313757256,0.8080926150938301,-7.03765698575941e-05,0.0110571293680735
mlp,long_short,0.0,1.0,15,-0.0491510366435402,-0.0510596926612911,0.4902551100310517,1.0,-4.462143349948664e-05,0.0122126012167652
rf,long_short,0.0,1.0,15,0.0331133715934595,-0.0794039526775565,0.4875848251653841,1.0,-0.0001365075997309,0.0121884045560788
