scope,model,target,strategy,cost_bps,best_by,best_threshold,metric_value,metric_at_threshold0
global,baseline_last,ALL,long_flat,1.0,cum_return,0.005,0.0231733892219621,-0.0383010543690661
global,baseline_last,ALL,long_flat,1.0,sharpe,0.005,-0.0007632747729399,-0.3047260180877991
global,baseline_last,ALL,long_short,1.0,cum_return,0.005,-0.2199023142674388,-0.3779604403705573
global,baseline_last,ALL,long_short,1.0,sharpe,0.005,-0.5231991319267568,-0.9104811465415532
global,baseline_zero,ALL,long_flat,1.0,cum_return,0.0,0.0,0.0
global,baseline_zero,ALL,long_flat,1.0,sharpe,0.0,,
global,baseline_zero,ALL,long_short,1.0,cum_return,0.0,0.0,0.0
global,baseline_zero,ALL,long_short,1.0,sharpe,0.0,,
global,knn,ALL,long_flat,1.0,cum_return,0.0,0.0602893498461204,0.0602893498461204
global,knn,ALL,long_flat,1.0,sharpe,0.005,0.3676755708572429,0.1410228180035652
global,knn,ALL,long_short,1.0,cum_return,0.005,-0.0749419785213554,-0.2575513862663268
global,knn,ALL,long_short,1.0,sharpe,0.005,-0.1657237647494036,-0.3952121560632602
global,mlp,ALL,long_flat,1.0,cum_return,0.0,0.2167672833338296,0.2167672833338296
global,mlp,ALL,long_flat,1.0,sharpe,0.0,0.3693500585595554,0.3693500585595554
global,mlp,ALL,long_short,1.0,cum_return,0.005,-0.0139976572839096,-0.0491510366435402
global,mlp,ALL,long_short,1.0,sharpe,0.0,-0.0510596926612911,-0.0510596926612911
global,rf,ALL,long_flat,1.0,cum_return,0.0,0.2298042650519929,0.2298042650519929
global,rf,ALL,long_flat,1.0,sharpe,0.0,0.3305272730775217,0.3305272730775217
global,rf,ALL,long_short,1.0,cum_return,0.005,0.103693870621772,0.0331133715934595
global,rf,ALL,long_short,1.0,sharpe,0.005,0.2217365596661694,-0.0794039526775565
global,ridge,ALL,long_flat,1.0,cum_return,0.0,-0.062187424723027,-0.062187424723027
global,ridge,ALL,long_flat,1.0,sharpe,0.0,-0.2009494766602294,-0.2009494766602294
global,ridge,ALL,long_short,1.0,cum_return,0.0005,-0.3924838048808179,-0.3972685642879315
global,ridge,ALL,long_short,1.0,sharpe,0.0005,-0.8136273037271542,-0.8245121891811077
per_target,baseline_last,y_BTC-USD,long_flat,1.0,cum_return,0.002,0.7623562185576858,0.662099148997408
per_target,baseline_last,y_BTC-USD,long_flat,1.0,sharpe,0.002,0.5210347683575777,0.4652775352831886
per_target,baseline_last,y_BTC-USD,long_short,1.0,cum_return,0.0,-0.3989670616455779,-0.3989670616455779
per_target,baseline_last,y_BTC-USD,long_short,1.0,sharpe,0.0,-0.03452816641904,-0.03452816641904
per_target,baseline_last,y_GLD,long_flat,1.0,cum_return,0.003,0.6038900862583316,0.1720786661376465
per_target,baseline_last,y_GLD,long_flat,1.0,sharpe,0.005,1.3863184437979217,0.4114014938133222
per_target,baseline_last,y_GLD,long_short,1.0,cum_return,0.005,0.394220889720452,-0.2996298525556092
per_target,baseline_last,y_GLD,long_short,1.0,sharpe,0.005,0.8547158536886904,-0.5485044512455958
per_target,baseline_last,y_TLT,long_flat,1.0,cum_return,0.003,-0.1048961038102357,-0.289436530519552
per_target,baseline_last,y_TLT,long_flat,1.0,sharpe,0.003,-0.5026890946621853,-1.3762791773516083
per_target,baseline_last,y_TLT,long_short,1.0,cum_return,0.003,0.0227808870487919,-0.3393357299822497
per_target,baseline_last,y_TLT,long_short,1.0,sharpe,0.003,0.1228322690177964,-1.1650840876694823
per_target,baseline_last,y_UUP,long_flat,1.0,cum_return,0.002,0.1062405016543779,-0.0926279896432135
per_target,baseline_last,y_UUP,long_flat,1.0,sharpe,0.002,0.862511891170455,-0.5913568213344857
per_target,baseline_last,y_UUP,long_short,1.0,cum_return,0.002,0.0145659783968592,-0.2825513008724142
per_target,baseline_last,y_UUP,long_short,1.0,sharpe,0.002,0.1109128822427326,-1.5584263223859651
per_target,baseline_last,y_XLB,long_flat,1.0,cum_return,0.005,-0.2195224057567097,-0.2278235169334694
per_target,baseline_last,y_XLB,long_flat,1.0,sharpe,0.0,-0.7250700192428444,-0.7250700192428444
per_target,baseline_last,y_XLB,long_short,1.0,cum_return,0.005,-0.4477450645733403,-0.4550311938687859
per_target,baseline_last,y_XLB,long_short,1.0,sharpe,0.0,-0.9507572267259464,-0.9507572267259464
per_target,baseline_last,y_XLC,long_flat,1.0,cum_return,0.005,0.1983405847724462,-0.0639817955295756
per_target,baseline_last,y_XLC,long_flat,1.0,sharpe,0.005,0.8426921877955976,-0.1589867416908054
per_target,baseline_last,y_XLC,long_short,1.0,cum_return,0.005,-0.0923912725221053,-0.2214476446965073
per_target,baseline_last,y_XLC,long_short,1.0,sharpe,0.005,-0.1473797246997392,-0.378398251814667
per_target,baseline_last,y_XLE,long_flat,1.0,cum_return,0.002,0.521646094801266,0.2684254956230287
per_target,baseline_last,y_XLE,long_flat,1.0,sharpe,0.002,1.066686889634897,0.5576523205738567
per_target,baseline_last,y_XLE,long_short,1.0,cum_return,0.002,0.2207923415975539,-0.0817932987842909
per_target,baseline_last,y_XLE,long_short,1.0,sharpe,0.002,0.406052392708543,-0.00873710578461
per_target,baseline_last,y_XLF,long_flat,1.0,cum_return,0.005,0.1860508922294139,-0.0375011946013583
per_target,baseline_last,y_XLF,long_flat,1.0,sharpe,0.005,0.561941437303436,-0.0473642197021883
per_target,baseline_last,y_XLF,long_short,1.0,cum_return,0.005,0.4333437961955177,-0.5091164256115621
per_target,baseline_last,y_XLF,long_short,1.0,sharpe,0.005,0.8520546187127971,-1.1413346848851489
per_target,baseline_last,y_XLI,long_flat,1.0,cum_return,0.005,0.1274085962880244,-0.1497435536785252
per_target,baseline_last,y_XLI,long_flat,1.0,sharpe,0.005,0.4448174829110367,-0.4200186889554793
per_target,baseline_last,y_XLI,long_short,1.0,cum_return,0.005,-0.2766036316892476,-0.5645896769649199
per_target,baseline_last,y_XLI,long_short,1.0,sharpe,0.005,-0.5422023560275118,-1.370196949928777
per_target,baseline_last,y_XLK,long_flat,1.0,cum_return,0.005,-0.137808868685242,-0.244106862031972
per_target,baseline_last,y_XLK,long_flat,1.0,sharpe,0.005,-0.2747292175342855,-0.4774893447516971
per_target,baseline_last,y_XLK,long_short,1.0,cum_return,0.001,-0.4941013201429538,-0.5330142007450225
per_target,baseline_last,y_XLK,long_short,1.0,sharpe,0.001,-0.724002445468265,-0.8168357927782068
per_target,baseline_last,y_XLP,long_flat,1.0,cum_return,0.003,-0.1288020941507081,-0.2169586931795197
per_target,baseline_last,y_XLP,long_flat,1.0,sharpe,0.003,-0.5510637930438088,-0.928598078880402
per_target,baseline_last,y_XLP,long_short,1.0,cum_return,0.005,-0.3480089606281649,-0.5373618219916099
per_target,baseline_last,y_XLP,long_short,1.0,sharpe,0.005,-1.2861702628542662,-1.9773264516771671
per_target,baseline_last,y_XLRE,long_flat,1.0,cum_return,0.005,-0.1969445017744733,-0.2887940764113619
per_target,baseline_last,y_XLRE,long_flat,1.0,sharpe,0.005,-1.012966658052464,-1.2116407669184712
per_target,baseline_last,y_XLRE,long_short,1.0,cum_return,0.005,-0.3992317027319071,-0.5375743394839573
per_target,baseline_last,y_XLRE,long_short,1.0,sharpe,0.005,-1.252676457209096,-1.567182024469937
per_target,baseline_last,y_XLU,long_flat,1.0,cum_return,0.0,0.3148312469512473,0.3148312469512473
per_target,baseline_last,y_XLU,long_flat,1.0,sharpe,0.0,0.9144304650105124,0.9144304650105124
per_target,baseline_last,y_XLU,long_short,1.0,cum_return,0.005,-0.0787412164298868,-0.2003319818219002
per_target,baseline_last,y_XLU,long_short,1.0,sharpe,0.005,-0.194731738095407,-0.4138983304571245
per_target,baseline_last,y_XLV,long_flat,1.0,cum_return,0.003,0.0919457708292958,0.0427012801780986
per_target,baseline_last,y_XLV,long_flat,1.0,sharpe,0.003,0.3931376489180341,0.1973818094034185
per_target,baseline_last,y_XLV,long_short,1.0,cum_return,0.0005,0.0602332290600649,0.0480456196021497
per_target,baseline_last,y_XLV,long_short,1.0,sharpe,0.0005,0.1975009971612029,0.1723037969920574
per_target,baseline_last,y_XLY,long_flat,1.0,cum_return,0.005,-0.1814238005759711,-0.423677440894873
per_target,baseline_last,y_XLY,long_flat,1.0,sharpe,0.005,-0.4914987823071416,-1.1802300365733034
per_target,baseline_last,y_XLY,long_short,1.0,cum_return,0.002,-0.6499774829845868,-0.7567076961361021
per_target,baseline_last,y_XLY,long_short,1.0,sharpe,0.002,-1.472549457730291,-1.8983111488736888
per_target,baseline_zero,y_BTC-USD,long_flat,1.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_BTC-USD,long_flat,1.0,sharpe,0.0,,
