model,target,fold_id,n_samples,mae,rmse,r2,directional_accuracy,hit_rate,pearson,spearman
baseline_zero,y_UUP,0,35,0.0033575640237602463,0.00386423584591131,-0.0010463508090647888,0.0,0.0,,
baseline_zero,y_UUP,1,35,0.0029058800144799272,0.003416224578705239,-0.056968829888371486,0.02857142857142857,0.02857142857142857,,
baseline_zero,y_UUP,2,37,0.003533601098641402,0.00458901262527364,-0.10270692022751993,0.02702702702702703,0.02702702702702703,,
baseline_zero,y_UUP,3,34,0.003438994341634527,0.004676712171717789,-0.07019631275676996,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_UUP,4,32,0.0038618928758404787,0.00518205389306361,-0.09095113944562838,0.0,0.0,,
baseline_zero,y_UUP,5,28,0.0033029262750077066,0.0041878321572928695,-0.056904158600559196,0.03571428571428571,0.03571428571428571,,
baseline_zero,y_UUP,6,29,0.003248885245545253,0.0041482734427153375,-0.0376931922807775,0.06896551724137931,0.06896551724137931,,
baseline_zero,y_UUP,7,30,0.003529386666761684,0.00428066309631576,-0.0010082832422544374,0.06666666666666667,0.06666666666666667,,
baseline_zero,y_UUP,8,34,0.0037050033690697397,0.00469439745978026,-0.0282563804784266,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_UUP,9,35,0.0049121928216778145,0.00673962591861746,-0.09338754318819764,0.0,0.0,,
baseline_zero,y_UUP,10,35,0.005074368226603274,0.006846004159339947,-0.028321091559159184,0.0,0.0,,
baseline_zero,y_UUP,11,35,0.005401769916881029,0.006923565824966509,-0.018803088991871775,0.0,0.0,,
baseline_zero,y_UUP,12,34,0.004391913510343071,0.0050225482953551726,-0.0021692655185066023,0.0,0.0,,
baseline_zero,y_UUP,13,35,0.003810803938153359,0.004446228296451771,-0.00038822954476547267,0.02857142857142857,0.02857142857142857,,
baseline_zero,y_UUP,14,34,0.0035192545929149275,0.0044151444271919105,-9.501485832341672e-06,0.058823529411764705,0.058823529411764705,,
baseline_zero,y_UUP,15,34,0.0033319508539470357,0.004320124068073475,-0.002395263267109371,0.058823529411764705,0.058823529411764705,,
baseline_zero,y_UUP,16,33,0.0034163175240225917,0.004395606873655189,-0.01072132939527548,0.030303030303030304,0.030303030303030304,,
baseline_zero,y_UUP,17,33,0.003349707062062239,0.004070153785821067,-0.0069003009597201626,0.0,0.0,,
baseline_zero,y_UUP,18,34,0.0031095904234154158,0.003746479669745121,-0.052300231293543,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_UUP,19,35,0.0027472068040946722,0.003512619807836071,-0.0527867204007082,0.02857142857142857,0.02857142857142857,,
baseline_zero,y_UUP,20,34,0.0023453123039325896,0.002933743541724233,-0.004940423258614102,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_UUP,21,29,0.0021112540368645565,0.0026883788556217522,-0.006360280133223428,0.0,0.0,,
baseline_zero,y_UUP,22,27,0.0024649224130403745,0.003093484022125943,-0.006821095097630403,0.037037037037037035,0.037037037037037035,,
baseline_zero,y_UUP,23,29,0.00287058890093367,0.004034702529323578,-0.013864163191571466,0.06896551724137931,0.06896551724137931,,
baseline_zero,y_UUP,24,33,0.0028516004456348165,0.003995463841964337,-0.018764193652744288,0.06060606060606061,0.06060606060606061,,
baseline_zero,y_TLT,0,35,0.006393064555591655,0.007798233045477128,-0.04128071783840137,0.0,0.0,,
baseline_zero,y_TLT,1,35,0.005500094567671618,0.006841411917921084,-0.05378134308817062,0.0,0.0,,
baseline_zero,y_TLT,2,37,0.00690638570257602,0.008859201559545945,-0.06920412639742901,0.0,0.0,,
baseline_zero,y_TLT,3,34,0.006421905439578957,0.00861857362853395,-0.00886998171787945,0.0,0.0,,
baseline_zero,y_TLT,4,32,0.007470857833962726,0.009409287858728034,-0.06779375684425326,0.0,0.0,,
baseline_zero,y_TLT,5,28,0.006177280013612114,0.007675634866705322,-0.05171828039251092,0.0,0.0,,
baseline_zero,y_TLT,6,29,0.006436238857590217,0.00798006626167335,-0.07047541062917007,0.0,0.0,,
baseline_zero,y_TLT,7,30,0.006779786414369948,0.008560170341985696,-0.03620304933627061,0.0,0.0,,
baseline_zero,y_TLT,8,34,0.006624253986193899,0.008061105182665212,-0.0014656452147541188,0.0,0.0,,
baseline_zero,y_TLT,9,35,0.00783519303933108,0.009790245237063195,-0.0001694237682483557,0.0,0.0,,
baseline_zero,y_TLT,10,35,0.00732271545904439,0.008979187254950304,-0.006384383440420693,0.0,0.0,,
baseline_zero,y_TLT,11,35,0.007516507657100594,0.009265248110550739,-0.0006468848354341805,0.0,0.0,,
baseline_zero,y_TLT,12,34,0.006862747388631577,0.007994045152082862,-0.00467553090590167,0.0,0.0,,
baseline_zero,y_TLT,13,35,0.005900520510313693,0.007475415655367545,-0.0036488994523309337,0.0,0.0,,
baseline_zero,y_TLT,14,34,0.006008465928499299,0.007656842387764249,-0.013697782822444715,0.0,0.0,,
baseline_zero,y_TLT,15,34,0.005567966658844263,0.006915073586147478,-0.0043675271214602684,0.0,0.0,,
baseline_zero,y_TLT,16,33,0.006113441303863706,0.00726218623089709,-0.04848786237298475,0.0,0.0,,
baseline_zero,y_TLT,17,33,0.005118013484179133,0.00643353446129887,-0.040969388734298784,0.030303030303030304,0.030303030303030304,,
baseline_zero,y_TLT,18,34,0.004600414112255258,0.005998407859153154,-0.018280869901252217,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_TLT,19,35,0.004031530558015538,0.005336021893486951,-0.00025503125105497126,0.02857142857142857,0.02857142857142857,,
baseline_zero,y_TLT,20,34,0.004082173247491641,0.005013381039216964,-0.015086002966622214,0.0,0.0,,
baseline_zero,y_TLT,21,29,0.004183294495725417,0.005021263025972615,-0.004078291682746205,0.0,0.0,,
baseline_zero,y_TLT,22,27,0.00398695282277681,0.004607734755678312,-0.005845762661623732,0.0,0.0,,
baseline_zero,y_TLT,23,29,0.00475692971310473,0.005729012982461639,-0.055010219007781025,0.0,0.0,,
baseline_zero,y_TLT,24,33,0.004201237432336261,0.005220261287356845,-0.03252496619508194,0.0,0.0,,
baseline_zero,y_GLD,0,35,0.007020159579643392,0.00889713032969153,-0.08166826016028517,0.0,0.0,,
baseline_zero,y_GLD,1,35,0.00696783503292839,0.008193320229660695,-0.13025660209768586,0.0,0.0,,
baseline_zero,y_GLD,2,37,0.008013813311806988,0.00984320098044455,-0.010193628065311877,0.0,0.0,,
baseline_zero,y_GLD,3,34,0.007532853692095593,0.009419903253645787,-0.010013041835275294,0.0,0.0,,
baseline_zero,y_GLD,4,32,0.008142900958443139,0.010337409077741532,-0.006815436709831424,0.0,0.0,,
baseline_zero,y_GLD,5,28,0.006999895904548109,0.00827023845558498,-0.03328271805046712,0.0,0.0,,
baseline_zero,y_GLD,6,29,0.007106158440173942,0.008359037102700088,-0.04560412208977338,0.0,0.0,,
baseline_zero,y_GLD,7,30,0.006017702515982448,0.007389461626374523,-0.018778783046523584,0.0,0.0,,
baseline_zero,y_GLD,8,34,0.006066180209560209,0.007887726161999642,-0.041181225563804436,0.0,0.0,,
baseline_zero,y_GLD,9,35,0.00825199147405174,0.011692305409701174,-0.047617296576165424,0.0,0.0,,
baseline_zero,y_GLD,10,35,0.010475719795191085,0.013938255846051581,-0.035687889026470465,0.0,0.0,,
baseline_zero,y_GLD,11,35,0.013457435362762211,0.016278015787321482,-0.015502523877279684,0.0,0.0,,
baseline_zero,y_GLD,12,34,0.011921118640831433,0.014176382404873795,-4.2943150027952015e-05,0.0,0.0,,
baseline_zero,y_GLD,13,35,0.009580795204757868,0.011518555821990073,-0.00399207914786226,0.0,0.0,,
baseline_zero,y_GLD,14,34,0.0066766992804608094,0.008235515523842257,-0.0015169606972582628,0.0,0.0,,
baseline_zero,y_GLD,15,34,0.006415531341551438,0.007873553160159719,-0.02748441182595407,0.0,0.0,,
baseline_zero,y_GLD,16,33,0.00600460231656785,0.007649118297925815,-0.07883127741758211,0.0,0.0,,
baseline_zero,y_GLD,17,33,0.006582485043282734,0.007828584430541893,-0.12093953433952032,0.0,0.0,,
baseline_zero,y_GLD,18,34,0.009434641112153683,0.014700688962686757,-0.0007119557221124673,0.0,0.0,,
baseline_zero,y_GLD,19,35,0.010245204312540076,0.015232146679003997,-2.0935736027904994e-05,0.0,0.0,,
baseline_zero,y_GLD,20,34,0.00916536888249371,0.014749421329740456,-0.00015970424569844432,0.0,0.0,,
baseline_zero,y_GLD,21,29,0.0055264227637578135,0.007527255798277354,-0.011366395779329075,0.0,0.0,,
baseline_zero,y_GLD,22,27,0.005736512879316831,0.007272376313878863,-0.1330457502865292,0.0,0.0,,
baseline_zero,y_GLD,23,29,0.016629549257127146,0.027255775157305418,-0.006630589331921843,0.0,0.0,,
baseline_zero,y_GLD,24,33,0.018864574791772764,0.027633265812357366,-0.008402939346896288,0.0,0.0,,
baseline_zero,y_BTC-USD,0,60,0.02143387287811024,0.029579241483804926,-0.0024653322346051,0.0,0.0,,
baseline_zero,y_BTC-USD,1,60,0.01522588650319157,0.019979994420942837,-0.0008484664195065328,0.0,0.0,,
baseline_zero,y_BTC-USD,2,60,0.018339295554787593,0.02668148817547512,-0.07729998242810665,0.0,0.0,,
baseline_zero,y_BTC-USD,3,60,0.018287363006754032,0.02667874230885171,-0.10864681866594283,0.0,0.0,,
baseline_zero,y_BTC-USD,4,60,0.02045039874495683,0.02880942863485924,-0.06274732168944674,0.0,0.0,,
baseline_zero,y_BTC-USD,5,60,0.01732086731298034,0.02302208044112268,-0.020269904387385962,0.0,0.0,,
baseline_zero,y_BTC-USD,6,60,0.017003374794653178,0.022842345347324787,-0.0007932109501427309,0.0,0.0,,
baseline_zero,y_BTC-USD,7,60,0.016030066176185624,0.02162082889574144,-0.00438758056867683,0.0,0.0,,
baseline_zero,y_BTC-USD,8,60,0.019555741185259757,0.026910079146840103,-0.002710313910093909,0.0,0.0,,
baseline_zero,y_BTC-USD,9,60,0.02251142826951021,0.030608102637734017,-0.0002187621947171703,0.0,0.0,,
baseline_zero,y_BTC-USD,10,60,0.021365243008927327,0.030155280032802143,-0.012083507615006761,0.0,0.0,,
baseline_zero,y_BTC-USD,11,60,0.016942264538330438,0.024755993221097596,-0.036029246052956765,0.0,0.0,,
baseline_zero,y_BTC-USD,12,60,0.013038915969623937,0.01898904153487371,-0.04580217099700068,0.0,0.0,,
baseline_zero,y_BTC-USD,13,60,0.012591393497470975,0.01765188431400074,-0.03554187980750734,0.0,0.0,,
baseline_zero,y_BTC-USD,14,60,0.011197792407117779,0.01475291572406133,-0.008593921497186852,0.0,0.0,,
baseline_zero,y_BTC-USD,15,60,0.012129742286574517,0.015757894304272702,-0.002772812192105567,0.0,0.0,,
baseline_zero,y_BTC-USD,16,60,0.011026358777821956,0.01456157974089234,-0.00047142299678681887,0.0,0.0,,
baseline_zero,y_BTC-USD,17,60,0.013733744379896162,0.01913334070358832,-0.0005435999133771574,0.0,0.0,,
baseline_zero,y_BTC-USD,18,60,0.013466038217477437,0.018085695240787972,-2.4734474024512565e-08,0.0,0.0,,
baseline_zero,y_BTC-USD,19,60,0.018696691299455843,0.02315600535478277,-0.03738904755276762,0.0,0.0,,
baseline_zero,y_BTC-USD,20,60,0.018224826625363972,0.022472743686296554,-0.02833898951094338,0.0,0.0,,
baseline_zero,y_BTC-USD,21,60,0.01680558135273275,0.02179978519516177,-0.011443014915251126,0.0,0.0,,
baseline_zero,y_BTC-USD,22,60,0.01354270217770471,0.018973511457249983,-0.00679693470322551,0.0,0.0,,
baseline_zero,y_BTC-USD,23,60,0.01893031235069961,0.031814935369042945,-0.0116936852303271,0.0,0.0,,
baseline_zero,y_BTC-USD,24,60,0.023592194299755505,0.035473339359810445,-0.011758853821401516,0.0,0.0,,
baseline_zero,y_XLK,0,35,0.012755450181486643,0.016260636438830606,-0.08122726345773912,0.0,0.0,,
baseline_zero,y_XLK,1,35,0.009903407225486565,0.013074599219125594,-0.02150857283417107,0.0,0.0,,
baseline_zero,y_XLK,2,37,0.010272337745057198,0.013591792380785096,-0.007716160439279474,0.0,0.0,,
baseline_zero,y_XLK,3,34,0.009388256917186604,0.012693596552016535,-0.010259254754890978,0.0,0.0,,
baseline_zero,y_XLK,4,32,0.010885199893771052,0.014009874190041486,-0.00016096345223948205,0.0,0.0,,
baseline_zero,y_XLK,5,28,0.009864831782698301,0.012318968036966515,-0.0041914614073277345,0.0,0.0,,
baseline_zero,y_XLK,6,29,0.011172145506497274,0.013645052074923256,-0.01198339804401316,0.0,0.0,,
baseline_zero,y_XLK,7,30,0.011060203933273848,0.014271664780598544,-0.0047451831971740965,0.0,0.0,,
baseline_zero,y_XLK,8,34,0.011913688759029558,0.01518767706286536,-0.0028803806297541534,0.0,0.0,,
baseline_zero,y_XLK,9,35,0.020506223840143716,0.03261720156930681,-0.008914452005154727,0.0,0.0,,
baseline_zero,y_XLK,10,35,0.022377479162188216,0.03351667954365691,-0.0012502043852467004,0.0,0.0,,
baseline_zero,y_XLK,11,35,0.02038058570932834,0.03269175774427796,-0.0008420400457134214,0.0,0.0,,
baseline_zero,y_XLK,12,34,0.01036973596657973,0.014109003558783128,-0.08386385723857148,0.0,0.0,,
baseline_zero,y_XLK,13,35,0.0067500212111621305,0.008476880745612833,-0.04600125416115408,0.0,0.0,,
baseline_zero,y_XLK,14,34,0.006521836630686882,0.008252257273956997,-0.04722132491178166,0.0,0.0,,
baseline_zero,y_XLK,15,34,0.0071555332543012905,0.008804113023759124,-0.00872161069416344,0.0,0.0,,
baseline_zero,y_XLK,16,33,0.007362287116381515,0.00941965514890807,-0.009575124541071789,0.0,0.0,,
baseline_zero,y_XLK,17,33,0.008073447004977058,0.011152207012302514,-0.00012177716435535224,0.0,0.0,,
baseline_zero,y_XLK,18,34,0.007947550049665023,0.01108444201562851,-0.01362371798943407,0.0,0.0,,
baseline_zero,y_XLK,19,35,0.010048956194125498,0.013609917263402327,-0.05054966594329402,0.0,0.0,,
baseline_zero,y_XLK,20,34,0.009652716464394378,0.01267303989116543,-0.028752109993790853,0.0,0.0,,
baseline_zero,y_XLK,21,29,0.010710962217139748,0.01403305808800854,-0.05161864069129729,0.0,0.0,,
baseline_zero,y_XLK,22,27,0.008500503072218949,0.011208181650587404,-0.009553643137621304,0.0,0.0,,
baseline_zero,y_XLK,23,29,0.012175994526183986,0.015587089792500506,-0.01268411411565551,0.0,0.0,,
baseline_zero,y_XLK,24,33,0.012525223575362461,0.015376451698657078,-0.0142110738551402,0.0,0.0,,
baseline_zero,y_XLF,0,35,0.006804236073988015,0.00818609967882843,-0.10918348571626368,0.0,0.0,,
baseline_zero,y_XLF,1,35,0.00610162688904118,0.00777923706206307,-0.023401779421340807,0.0,0.0,,
baseline_zero,y_XLF,2,37,0.007500456578972005,0.012594292929541347,-0.05137820776662139,0.0,0.0,,
baseline_zero,y_XLF,3,34,0.0075076047415118755,0.012879982761063455,-0.05055625506415429,0.0,0.0,,
baseline_zero,y_XLF,4,32,0.008368238371856851,0.013969518197743815,-0.009220186221982951,0.0,0.0,,
baseline_zero,y_XLF,5,28,0.007188767428895908,0.010035668760166613,-0.03996431741606199,0.0,0.0,,
baseline_zero,y_XLF,6,29,0.0071575102133161666,0.009833812777299276,-0.04884390335817934,0.0,0.0,,
baseline_zero,y_XLF,7,30,0.006557540266012015,0.008796099150664058,-0.1097547702951076,0.0,0.0,,
baseline_zero,y_XLF,8,34,0.007293155985707188,0.010398025240077505,-0.0013234872476963755,0.0,0.0,,
