target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples
y_BTC-USD,0.01685768382461369,0.003518932924336004,0.023370651069256728,0.005534954202336127,-0.02118587219955771,0.02718896275901606,0.0,0.0,0.0,0.0,,,,,25,1500
y_GLD,0.008753446084152055,0.0033096880425177414,0.011686345758140053,0.005442470458006403,-0.034789880165023754,0.04108816551029772,0.0,0.0,0.0,0.0,,,,,25,823
y_TLT,0.005871918847306421,0.0011861043543133125,0.007300061823307381,0.0015004781408185222,-0.026196845543141042,0.02438623643527158,0.003531448943213649,0.009566344732048255,0.003531448943213649,0.009566344732048255,,,,,25,823
y_UUP,0.0034637155074104965,0.0007881604384478561,0.004408931167543574,0.0010735832268227896,-0.030586571546713806,0.031807046689459134,0.028651741807928417,0.02386005450865908,0.028651741807928417,0.02386005450865908,,,,,25,823
y_XLB,0.00852345675486402,0.002480164668836052,0.011235631622632629,0.004722528799850892,-0.03215589617023898,0.046104615238364496,0.0119449961802903,0.026909803657655433,0.0119449961802903,0.026909803657655433,,,,,25,823
y_XLC,0.0075152540598355235,0.0029981394591300915,0.009985373387897036,0.00506119289745742,-0.03235157138329352,0.038951301216113905,0.006733590733590733,0.018241624818408124,0.006733590733590733,0.018241624818408124,,,,,25,823
y_XLE,0.010708868069130167,0.002905187732878931,0.014236008315337428,0.005744928889488378,-0.021066299993252383,0.03353495535346265,0.01137226412682802,0.01749794522449118,0.01137226412682802,0.01749794522449118,,,,,25,823
y_XLF,0.007843169543171585,0.0023457123898134227,0.011159471692965573,0.004660512706400577,-0.03160620609298288,0.03250695816773936,0.01045378151260504,0.018134259077933902,0.01045378151260504,0.018134259077933902,,,,,25,823
y_XLI,0.007783829375446309,0.002780273791420282,0.010512259324006956,0.00493892488330205,-0.023857979800955543,0.03876919041228261,0.0,0.0,0.0,0.0,,,,,25,823
y_XLK,0.011130983117573037,0.0040700442054532405,0.015106631870266684,0.006930528727983463,-0.021287089963601406,0.02400296482815701,0.0,0.0,0.0,0.0,,,,,25,823
y_XLP,0.00637639332741376,0.0016653655329879752,0.008037510627731205,0.0024962615827965966,-0.029927961732969025,0.051609034870158124,0.01432659835093912,0.01913477073364859,0.01432659835093912,0.01913477073364859,,,,,25,823
y_XLRE,0.00751382864612072,0.0019127425319374078,0.009954667619172651,0.0030859084699358277,-0.018871764890984286,0.023307928867759165,0.020133933570039043,0.0198156279135268,0.020133933570039043,0.0198156279135268,,,,,25,823
y_XLU,0.00758731783096441,0.001410585545311235,0.009925847901704832,0.0023873932107944043,-0.030085436904815018,0.029951472633535967,0.008732187859469807,0.014072433102676498,0.008732187859469807,0.014072433102676498,,,,,25,823
y_XLV,0.007581837266408694,0.002058645357461937,0.009857337033362109,0.0030180353139792546,-0.03289374731637834,0.03350780929002756,0.0036007130124777187,0.009751863081998791,0.0036007130124777187,0.009751863081998791,,,,,25,823
y_XLY,0.010222527529116676,0.003357714639153647,0.013606449757084096,0.0053492890353465565,-0.029177711565365926,0.03816791949679935,0.0,0.0,0.0,0.0,,,,,25,823
AVG,0.008515615318901836,0.0024524974409332757,0.011358878598027262,0.004129799369687951,-0.02773605568461824,0.03432563745122964,0.007965417073158789,0.011798981790069777,0.007965417073158789,0.011798981790069777,,,,,25,13022
