target,model,directional_accuracy_mean,directional_accuracy_std
y_BTC-USD,knn,0.4946666666666666,0.0504909232766973
y_BTC-USD,baseline_last,0.4933333333333333,0.0478423336480244
y_BTC-USD,rf,0.4826666666666666,0.0679018900080599
y_BTC-USD,mlp,0.4753333333333333,0.0602070501593367
y_BTC-USD,ridge,0.4673333333333333,0.0495490778028321
y_BTC-USD,baseline_zero,0.0,0.0
y_GLD,rf,0.5094850551731891,0.0564566046147347
y_GLD,mlp,0.5036658754392019,0.0860875498512318
y_GLD,ridge,0.4495346548176162,0.0840820015715123
y_GLD,knn,0.4363616795913956,0.0665095778646725
y_GLD,baseline_last,0.3187361858447051,0.0757892338070831
y_GLD,baseline_zero,0.0,0.0
y_TLT,rf,0.5424672029053368,0.069886566280496
y_TLT,mlp,0.5159486941961586,0.0972338536242917
y_TLT,knn,0.4832852846656091,0.0663471962446302
y_TLT,ridge,0.4700585826402256,0.0954198564794924
y_TLT,baseline_last,0.3473534052017824,0.0628014797609854
y_TLT,baseline_zero,0.0035314489432136,0.0095663447320482
y_UUP,rf,0.5139594506191869,0.0995426070436737
y_UUP,knn,0.50561208606594,0.0654405876328017
y_UUP,mlp,0.4950323388376126,0.0898403992082619
y_UUP,ridge,0.4499136453832195,0.0775978488236027
y_UUP,baseline_last,0.3163699308750018,0.058090992080327
y_UUP,baseline_zero,0.0286517418079284,0.023860054508659
y_XLB,knn,0.490097870340771,0.0970519055364066
y_XLB,mlp,0.4795357362051073,0.0985426548580441
y_XLB,ridge,0.451701231169791,0.1119351829680792
y_XLB,rf,0.3986669503728327,0.0752162610540247
y_XLB,baseline_last,0.3458560526557484,0.0768492301504595
y_XLB,baseline_zero,0.0119449961802903,0.0269098036576554
y_XLC,rf,0.5531779060612732,0.0824123921960412
y_XLC,mlp,0.48649947262929,0.0830827808363503
y_XLC,ridge,0.4808690301560483,0.1077881333917521
y_XLC,knn,0.4754318295667181,0.063158944302959
y_XLC,baseline_last,0.3893064368008587,0.0925625971433742
y_XLC,baseline_zero,0.0067335907335907,0.0182416248184081
y_XLE,ridge,0.5109376985781651,0.1043812007656169
y_XLE,rf,0.5069244536283076,0.0834597745150445
y_XLE,mlp,0.504334065895932,0.0773925321908134
y_XLE,knn,0.4764126842985869,0.0821778784824159
y_XLE,baseline_last,0.3608439582465952,0.0673145323566614
y_XLE,baseline_zero,0.011372264126828,0.0174979452244911
y_XLF,knn,0.4816213436243862,0.0978929344390646
y_XLF,mlp,0.4815347338460928,0.09117179039614
y_XLF,rf,0.469504277511884,0.0881515891680733
y_XLF,ridge,0.4572674691036759,0.0934528942806597
y_XLF,baseline_last,0.3241467854409031,0.0542728885944104
y_XLF,baseline_zero,0.010453781512605,0.0181342590779339
y_XLI,knn,0.5077713642490519,0.0919460677980939
y_XLI,mlp,0.4807445560270104,0.0626078235712893
y_XLI,ridge,0.4510578412571313,0.0673692033004165
y_XLI,rf,0.4473913378948876,0.0786018293891047
y_XLI,baseline_last,0.3046477700007111,0.0791930658495757
y_XLI,baseline_zero,0.0,0.0
y_XLK,ridge,0.495132721345196,0.0846278296907936
y_XLK,knn,0.4802654805367787,0.0969320155330827
y_XLK,rf,0.4680253546992897,0.072708701460627
y_XLK,mlp,0.464754308963741,0.088212048232218
y_XLK,baseline_last,0.3493916258333094,0.0990161365174202
y_XLK,baseline_zero,0.0,0.0
y_XLP,mlp,0.4987768662342698,0.0729809889778251
y_XLP,rf,0.4792203294150555,0.0978665089401973
y_XLP,knn,0.4753992635980466,0.0920543551727237
y_XLP,ridge,0.4641931860009953,0.1178605647136392
y_XLP,baseline_last,0.2976059781364041,0.0732912500596805
y_XLP,baseline_zero,0.0143265983509391,0.0191347707336485
y_XLRE,rf,0.5293094051745166,0.0913611055894579
y_XLRE,mlp,0.5056437130144027,0.0836210210920966
y_XLRE,knn,0.4986380921700394,0.087384842831668
y_XLRE,ridge,0.4534006794721804,0.0872568600828345
y_XLRE,baseline_last,0.3057789906816276,0.075600946061094
y_XLRE,baseline_zero,0.020133933570039,0.0198156279135268
y_XLU,knn,0.525855758856773,0.0755112343077721
y_XLU,rf,0.4988362714417481,0.1051614517288056
y_XLU,mlp,0.4934196454561567,0.0836577302269018
y_XLU,ridge,0.4606843954278031,0.0786885523936005
y_XLU,baseline_last,0.3444115695540645,0.0760153232722602
y_XLU,baseline_zero,0.0087321878594698,0.0140724331026764
y_XLV,knn,0.4942944043988668,0.0857791159818893
y_XLV,ridge,0.4765657569070348,0.080239947003572
y_XLV,mlp,0.4727302224249485,0.0811404959762188
y_XLV,rf,0.4141235515434298,0.0930085937049608
y_XLV,baseline_last,0.3794216179312528,0.0816189300938495
y_XLV,baseline_zero,0.0036007130124777,0.0097518630819987
y_XLY,rf,0.5001904800601555,0.0902210476343854
y_XLY,mlp,0.4915335488935894,0.0794824438253434
y_XLY,ridge,0.4642067054739467,0.0741269054326068
y_XLY,knn,0.457805091846674,0.080331531948325
y_XLY,baseline_last,0.28946604401219,0.0966507842597909
y_XLY,baseline_zero,0.0,0.0
