target,best_model_directional_accuracy,da_mean,da_std,da_baseline_last,da_baseline_zero,gap_vs_baseline_last,gap_vs_baseline_zero
y_BTC-USD,knn,0.4946666666666666,0.0504909232766973,0.4933333333333333,0.0,0.0013333333333332975,0.4946666666666666
y_GLD,rf,0.5094850551731891,0.0564566046147347,0.3187361858447051,0.0,0.190748869328484,0.5094850551731891
y_TLT,rf,0.5424672029053368,0.069886566280496,0.3473534052017824,0.0035314489432136,0.19511379770355441,0.5389357539621232
y_UUP,rf,0.5139594506191869,0.0995426070436737,0.3163699308750018,0.0286517418079284,0.1975895197441851,0.4853077088112585
y_XLB,knn,0.490097870340771,0.0970519055364066,0.3458560526557484,0.0119449961802903,0.1442418176850226,0.4781528741604807
y_XLC,rf,0.5531779060612732,0.0824123921960412,0.3893064368008587,0.0067335907335907,0.16387146926041446,0.5464443153276825
y_XLE,ridge,0.5109376985781651,0.1043812007656169,0.3608439582465952,0.011372264126828,0.15009374033156986,0.49956543445133705
y_XLF,knn,0.4816213436243862,0.0978929344390646,0.3241467854409031,0.010453781512605,0.1574745581834831,0.4711675621117812
y_XLI,knn,0.5077713642490519,0.0919460677980939,0.3046477700007111,0.0,0.2031235942483408,0.5077713642490519
y_XLK,ridge,0.495132721345196,0.0846278296907936,0.3493916258333094,0.0,0.14574109551188658,0.495132721345196
y_XLP,mlp,0.4987768662342698,0.0729809889778251,0.2976059781364041,0.0143265983509391,0.2011708880978657,0.48445026788333073
y_XLRE,rf,0.5293094051745166,0.0913611055894579,0.3057789906816276,0.020133933570039,0.22353041449288902,0.5091754716044776
y_XLU,knn,0.525855758856773,0.0755112343077721,0.3444115695540645,0.0087321878594698,0.18144418930270856,0.5171235709973032
y_XLV,knn,0.4942944043988668,0.0857791159818893,0.3794216179312528,0.0036007130124777,0.11487278646761401,0.4906936913863891
y_XLY,rf,0.5001904800601555,0.0902210476343854,0.28946604401219,0.0,0.21072443604796554,0.5001904800601555
