model,target,fold_id,n_samples,mae,rmse,r2,directional_accuracy,hit_rate,pearson,spearman
knn,y_UUP,0,35,0.0033658745627785946,0.004118893044177914,-0.1373338538938642,0.6,0.6,-0.12886956672404976,-0.10924369747899161
knn,y_UUP,1,35,0.0028434773554139215,0.003529995185028594,-0.12854161975655543,0.6285714285714286,0.6285714285714286,-0.15267543185096782,-0.06358543417366948
knn,y_UUP,2,37,0.0034083092429093866,0.004515219257479545,-0.06752802174164607,0.5675675675675675,0.5675675675675675,0.015020160681199974,0.009483167377904219
knn,y_UUP,3,34,0.003459643066516362,0.004657015036803791,-0.061200501607708846,0.5,0.5,0.045885514554045666,0.030710466004583648
knn,y_UUP,4,32,0.003723174180797463,0.005036558734795508,-0.030550445691091,0.53125,0.53125,0.1398908428661279,0.18878299120234604
knn,y_UUP,5,28,0.0031693030419036494,0.004167227746880207,-0.046529666799325575,0.5,0.5,0.02739180363240459,0.16639299397920088
knn,y_UUP,6,29,0.0030740159780921917,0.00408163754818823,-0.004622934091472297,0.5172413793103449,0.5172413793103449,0.10086989677622182,0.14927946904707692
knn,y_UUP,7,30,0.003400308668890852,0.00437219044615577,-0.04427219802896243,0.5,0.5,0.12219816464322598,0.17354544550597534
knn,y_UUP,8,34,0.0037245388080061575,0.004919422952269522,-0.12919780393219638,0.4411764705882353,0.4411764705882353,0.017641955811199858,0.06737967914438502
knn,y_UUP,9,35,0.0050417764712046426,0.0072859107285910794,-0.2778216131646354,0.5142857142857142,0.5142857142857142,-0.2607414012755353,-0.06162464985994398
knn,y_UUP,10,35,0.005088438485470245,0.0072657663828617925,-0.15828994393847662,0.5714285714285714,0.5714285714285714,-0.22705977140059397,0.061344537815126055
knn,y_UUP,11,35,0.0055664276556534956,0.007421305927610795,-0.17055351007247377,0.5142857142857142,0.5142857142857142,-0.2734331932525241,-0.13361344537815126
knn,y_UUP,12,34,0.0043573731280737,0.005213852279813496,-0.0799664938646012,0.5882352941176471,0.5882352941176471,-0.09322651142329706,-0.146535259041764
knn,y_UUP,13,35,0.003895830250252591,0.004744812131104029,-0.13926065618886163,0.5428571428571428,0.5428571428571428,-0.09828579530282593,-0.10868347338935574
knn,y_UUP,14,34,0.0034007126486236498,0.004510862862943447,-0.04383906310964525,0.5294117647058824,0.5294117647058824,0.15969156085404693,0.26480250669382377
knn,y_UUP,15,34,0.0035353868178623488,0.004598529663092766,-0.13575472338108385,0.38235294117647056,0.38235294117647056,-0.033438588103423754,0.009779203940222
knn,y_UUP,16,33,0.00350403947264028,0.004481394858869558,-0.05055831933920185,0.5151515151515151,0.5151515151515151,0.21674884217074403,0.22846160353852124
knn,y_UUP,17,33,0.0036277990841468762,0.004505331535209394,-0.23372493700498498,0.5151515151515151,0.5151515151515151,-0.2415407384606954,-0.219436785256824
knn,y_UUP,18,34,0.0033395929504552186,0.004104895984788014,-0.26327301476813125,0.4411764705882353,0.4411764705882353,-0.2794444627763654,-0.2534953021379421
knn,y_UUP,19,35,0.0030429569294907963,0.0038885259664511295,-0.2901734872074886,0.4857142857142857,0.4857142857142857,-0.35792991959438347,-0.29887955182072834
knn,y_UUP,20,34,0.0027056733788198535,0.0032676336316382324,-0.24670223310506367,0.4117647058823529,0.4117647058823529,-0.07282527207168045,-0.05362872421695951
knn,y_UUP,21,29,0.0024200933182314485,0.003037276481064059,-0.2845209737638541,0.41379310344827586,0.41379310344827586,-0.12543074529136108,-0.05320197044334973
knn,y_UUP,22,27,0.002656236508831879,0.003410502500961925,-0.22375166758151166,0.37037037037037035,0.37037037037037035,-0.12999621640072861,-0.017704517704517704
knn,y_UUP,23,29,0.0028693880813641195,0.004004750109831711,0.0011332073553563804,0.4827586206896552,0.4827586206896552,0.09276628042015883,-0.005665722422578828
knn,y_UUP,24,33,0.0028072079104562173,0.0039017124391146456,0.028484398272178635,0.5757575757575758,0.5757575757575758,0.17277827056425463,0.14941088044143233
knn,y_TLT,0,35,0.0068842571888017194,0.007977634737428423,-0.08974203337407727,0.5142857142857142,0.5142857142857142,-0.004124866138274503,-0.13893557422969188
knn,y_TLT,1,35,0.005733680662936117,0.007102502479863316,-0.13574756291187162,0.5428571428571428,0.5428571428571428,-0.06578717866883148,-0.09971988795518208
knn,y_TLT,2,37,0.0072276750020629724,0.009002679952215504,-0.10411696557130368,0.40540540540540543,0.40540540540540543,-0.05863347244721471,-0.12328117591275484
knn,y_TLT,3,34,0.006996937564822954,0.008842437041225166,-0.06196049272804949,0.29411764705882354,0.29411764705882354,-0.01883314256213529,-0.10741023682200151
knn,y_TLT,4,32,0.00764200862390534,0.00938487659966073,-0.062260420500146685,0.4375,0.4375,0.056984151588391756,-0.016129032258064516
knn,y_TLT,5,28,0.00640736414033963,0.007706554191722178,-0.060208500669141074,0.5,0.5,0.06850136962013914,0.11384783798576902
knn,y_TLT,6,29,0.006411151126278381,0.008116358630366945,-0.10735318201409538,0.5517241379310345,0.5517241379310345,0.01567015520879812,0.027093596059113295
knn,y_TLT,7,30,0.0070433616303908295,0.008907347287635054,-0.12195857637984298,0.4666666666666667,0.4666666666666667,-0.046780089725158486,-0.0896551724137931
knn,y_TLT,8,34,0.006418073010050755,0.008053089957997176,0.0005248961115190687,0.5,0.5,0.153624806973192,0.10527119938884644
knn,y_TLT,9,35,0.007668706500356995,0.009450092954462894,0.06812299950637801,0.5428571428571428,0.5428571428571428,0.31138036299912447,0.13865546218487396
knn,y_TLT,10,35,0.007196979730533415,0.008754647294374685,0.04331901978955832,0.5714285714285714,0.5714285714285714,0.23462250202683227,0.0946778711484594
knn,y_TLT,11,35,0.007403704741181246,0.00921091564159191,0.011054519427078469,0.5428571428571428,0.5428571428571428,0.18060796972266632,0.06302521008403361
knn,y_TLT,12,34,0.007124238754938568,0.008546514749317781,-0.1483406116037247,0.47058823529411764,0.47058823529411764,0.10121303593094516,0.05393430099312452
knn,y_TLT,13,35,0.0061188941813842025,0.0077972054058505,-0.09191560240539776,0.5428571428571428,0.5428571428571428,0.11087426009390923,0.04397759103641457
knn,y_TLT,14,34,0.007083372791882754,0.009126105405986368,-0.4400581943628741,0.5,0.5,-0.06641828604564207,-0.09702062643239114
knn,y_TLT,15,34,0.0060024258607530995,0.008050493279718565,-0.361269250651272,0.5588235294117647,0.5588235294117647,-0.003203791438701988,0.0961038961038961
knn,y_TLT,16,33,0.006569734554362612,0.008766053624961547,-0.5276958186358394,0.5454545454545454,0.5454545454545454,-0.037275713247154875,0.06851604278074867
knn,y_TLT,17,33,0.005717234928352439,0.007397081004728587,-0.376129942996565,0.5151515151515151,0.5151515151515151,0.06602393148751326,0.11731283422459894
knn,y_TLT,18,34,0.005470107687279309,0.007143526728643552,-0.4441787447671781,0.4117647058823529,0.4117647058823529,-0.08670546934364946,-0.04568372803666921
knn,y_TLT,19,35,0.005471268023455351,0.0066428953853978935,-0.5502093967711634,0.4,0.4,-0.10652253596489027,-0.10700280112044817
knn,y_TLT,20,34,0.004718828345220718,0.005737827367159315,-0.32964702477436325,0.5,0.5,-0.03961474524889306,0.11107715813598167
knn,y_TLT,21,29,0.0052390591696379,0.0062173643005709305,-0.5394098649275552,0.4827586206896552,0.4827586206896552,-0.20210159353361412,-0.1576354679802955
knn,y_TLT,22,27,0.005227896514059375,0.006200818869611883,-0.8216063843534074,0.48148148148148145,0.48148148148148145,-0.2633269344173703,-0.21123321123321123
knn,y_TLT,23,29,0.00614705583559813,0.00752508808579785,-0.8202046917261927,0.3793103448275862,0.3793103448275862,-0.15400907998834343,-0.12019704433497534
knn,y_TLT,24,33,0.005154616912245754,0.006775108857555576,-0.7391964267706037,0.42424242424242425,0.42424242424242425,-0.10583860587347081,-0.02840909090909091
knn,y_GLD,0,35,0.007288452666280202,0.009065252737056452,-0.12293343936457757,0.42857142857142855,0.42857142857142855,0.1993866693622981,0.12156862745098039
knn,y_GLD,1,35,0.007313794209445466,0.008392170253295195,-0.1857844907337396,0.37142857142857144,0.37142857142857144,0.14240503378954367,0.2647058823529412
knn,y_GLD,2,37,0.008235948975632528,0.009865681610732913,-0.014813207136315398,0.40540540540540543,0.40540540540540543,0.11803127288280518,0.14011379800853482
knn,y_GLD,3,34,0.007531298757462555,0.009394578540848433,-0.0045896512020435765,0.4411764705882353,0.4411764705882353,0.13208633498633568,0.06585179526355996
knn,y_GLD,4,32,0.008015649757330013,0.010275249752371126,0.005256216968195893,0.46875,0.46875,0.11972594258569678,0.03482404692082111
knn,y_GLD,5,28,0.006986265471615217,0.008385837834523463,-0.062370546785532444,0.42857142857142855,0.42857142857142855,0.13958550962216526,0.05363984674329502
knn,y_GLD,6,29,0.007138425179604059,0.00835522744972846,-0.04465126565858313,0.4827586206896552,0.4827586206896552,0.2625209156161832,0.24827586206896549
knn,y_GLD,7,30,0.006485547935318827,0.0077122705884565285,-0.10973379682317486,0.43333333333333335,0.43333333333333335,-0.040519165986411726,0.020689655172413793
knn,y_GLD,8,34,0.006781272441839418,0.008374213471217445,-0.17357468756508987,0.38235294117647056,0.38235294117647056,-0.11493803840072596,-0.14163483575248279
knn,y_GLD,9,35,0.009152782704176162,0.0123969189790131,-0.17768700839229723,0.34285714285714286,0.34285714285714286,-0.18063566736694675,-0.2327731092436975
knn,y_GLD,10,35,0.01117738419520289,0.014498172031703246,-0.12056881253074314,0.42857142857142855,0.42857142857142855,-0.14088998763349955,-0.21820728291316527
knn,y_GLD,11,35,0.013955058260435574,0.01670132158065162,-0.06900504092440318,0.42857142857142855,0.42857142857142855,-0.17711634219177258,-0.3366946778711485
knn,y_GLD,12,34,0.01225285296472326,0.014570639666283133,-0.05644051074970213,0.4411764705882353,0.4411764705882353,-0.21413467662405428,-0.2348357524828113
knn,y_GLD,13,35,0.009707681682498552,0.01171784085153339,-0.039033175114856045,0.4857142857142857,0.4857142857142857,-0.0507957302464453,-0.05350140056022409
knn,y_GLD,14,34,0.006854910586839396,0.008363439586391071,-0.0328721712646034,0.47058823529411764,0.47058823529411764,0.029101532869611466,0.06096256684491979
knn,y_GLD,15,34,0.006589347761359823,0.007977054251315776,-0.054675372484123796,0.5294117647058824,0.5294117647058824,0.057635433126112516,0.04415584415584415
knn,y_GLD,16,33,0.006316588900183987,0.008057857190239624,-0.19720881545970959,0.48484848484848486,0.48484848484848486,-0.13287999738417133,-0.13302139037433156
knn,y_GLD,17,33,0.006454118531804439,0.007814360996511572,-0.11687005638605052,0.5454545454545454,0.5454545454545454,0.10600846867361659,0.07921122994652408
knn,y_GLD,18,34,0.009241693050718383,0.01497809264477433,-0.0388353885704007,0.6176470588235294,0.6176470588235294,-0.08398562181401607,0.13002291825821238
knn,y_GLD,19,35,0.01026266724153741,0.015460010648258063,-0.03016417632547519,0.4,0.4,-0.060561908682870896,0.05182072829131653
knn,y_GLD,20,34,0.00949512836255303,0.01523012454747968,-0.06641513300198443,0.4117647058823529,0.4117647058823529,-0.22375446983598635,-0.0826585179526356
knn,y_GLD,21,29,0.006370696550109224,0.008195416094814783,-0.19888406080840415,0.3448275862068966,0.3448275862068966,-0.22300449496126354,-0.22118226600985216
