model,target,fold_id,n_samples,mae,rmse,r2,directional_accuracy,hit_rate,pearson,spearman
mlp,y_UUP,0,35,0.01713612801336603,0.02444919394008144,-39.073384938909754,0.7428571428571429,0.7428571428571429,0.1931770985995599,0.19103641456582635
mlp,y_UUP,1,35,0.016178978988743938,0.019104457174716614,-32.055121578904334,0.34285714285714286,0.34285714285714286,-0.07249796823816171,-0.008963585434173669
mlp,y_UUP,2,37,0.022662507259281862,0.042258538318271685,-92.50838091830224,0.4864864864864865,0.4864864864864865,-0.005712105078828221,-0.14011379800853482
mlp,y_UUP,3,34,0.026428434833967535,0.04414368609010738,-94.34970546584906,0.35294117647058826,0.35294117647058826,-0.022385923912197014,-0.06951871657754011
mlp,y_UUP,4,32,0.021257024875335092,0.029038844892048967,-33.25785158888339,0.5,0.5,-0.10913299885868558,-0.14589442815249265
mlp,y_UUP,5,28,0.01636025882008477,0.02186903334741901,-27.821477824392026,0.42857142857142855,0.42857142857142855,-0.28158398040260224,-0.2829775588396278
mlp,y_UUP,6,29,0.025072163272899902,0.03491333205120341,-72.50498834721112,0.6206896551724138,0.6206896551724138,0.04463153656470905,0.032023648475445546
mlp,y_UUP,7,30,0.027528690081825433,0.043462516376197954,-102.1918286571567,0.36666666666666664,0.36666666666666664,-0.41598239506342927,-0.4093892560653777
mlp,y_UUP,8,34,0.02457120138515792,0.03372437568867162,-52.067610892572226,0.5882352941176471,0.5882352941176471,-0.07861160356896772,0.023376623376623374
mlp,y_UUP,9,35,0.025085602888097417,0.03057185615068474,-21.498116070504565,0.45714285714285713,0.45714285714285713,-0.01466224347778163,0.01988795518207283
mlp,y_UUP,10,35,0.026724646999879576,0.034297309275578336,-24.80919896587838,0.4,0.4,0.1277818527451316,0.013445378151260503
mlp,y_UUP,11,35,0.024618830302795287,0.033808046066227906,-23.29241796961601,0.4857142857142857,0.4857142857142857,0.038373762412051454,-0.0036414565826330537
mlp,y_UUP,12,34,0.0188750574270361,0.02906913380634791,-32.57043885519053,0.5294117647058824,0.5294117647058824,-0.10083574962192222,-0.07242722918226917
