model,target,fold_id,n_samples,mae,rmse,r2,directional_accuracy,hit_rate,pearson,spearman
baseline_zero,y_UUP,0,35,0.0033575640237602,0.0038642358459113,-0.0010463508090647,0.0,0.0,,
baseline_zero,y_UUP,1,35,0.0029058800144799,0.0034162245787052,-0.0569688298883714,0.0285714285714285,0.0285714285714285,,
baseline_zero,y_UUP,2,37,0.0035336010986414,0.0045890126252736,-0.1027069202275199,0.027027027027027,0.027027027027027,,
baseline_zero,y_UUP,3,34,0.0034389943416345,0.0046767121717177,-0.0701963127567699,0.0294117647058823,0.0294117647058823,,
baseline_zero,y_UUP,4,32,0.0038618928758404,0.0051820538930636,-0.0909511394456283,0.0,0.0,,
baseline_zero,y_UUP,5,28,0.0033029262750077,0.0041878321572928,-0.0569041586005591,0.0357142857142857,0.0357142857142857,,
baseline_zero,y_UUP,6,29,0.0032488852455452,0.0041482734427153,-0.0376931922807775,0.0689655172413793,0.0689655172413793,,
baseline_zero,y_UUP,7,30,0.0035293866667616,0.0042806630963157,-0.0010082832422544,0.0666666666666666,0.0666666666666666,,
baseline_zero,y_UUP,8,34,0.0037050033690697,0.0046943974597802,-0.0282563804784266,0.0294117647058823,0.0294117647058823,,
baseline_zero,y_UUP,9,35,0.0049121928216778,0.0067396259186174,-0.0933875431881976,0.0,0.0,,
baseline_zero,y_UUP,10,35,0.0050743682266032,0.0068460041593399,-0.0283210915591591,0.0,0.0,,
baseline_zero,y_UUP,11,35,0.005401769916881,0.0069235658249665,-0.0188030889918717,0.0,0.0,,
baseline_zero,y_UUP,12,34,0.004391913510343,0.0050225482953551,-0.0021692655185066,0.0,0.0,,
baseline_zero,y_UUP,13,35,0.0038108039381533,0.0044462282964517,-0.0003882295447654,0.0285714285714285,0.0285714285714285,,
baseline_zero,y_UUP,14,34,0.0035192545929149,0.0044151444271919,-9.501485832341672e-06,0.0588235294117647,0.0588235294117647,,
