model,target,fold_id,n_samples,mae,rmse,r2,directional_accuracy,hit_rate,pearson,spearman
rf,y_UUP,0,35,0.003482016028560134,0.0040395239531028195,-0.09392440788682,0.5714285714285714,0.5714285714285714,-0.08542294007490751,-0.07787114845938375
rf,y_UUP,1,35,0.003125774371041259,0.0035916163320488695,-0.1682861539559466,0.45714285714285713,0.45714285714285713,-0.13291939135354397,-0.17058823529411765
rf,y_UUP,2,37,0.0037358638407865947,0.004766079702830511,-0.1894445384610488,0.4594594594594595,0.4594594594594595,-0.20521656698182117,-0.37316263632053104
rf,y_UUP,3,34,0.0038154793277324155,0.004943899484550834,-0.19597315372438318,0.38235294117647056,0.38235294117647056,-0.1233193375716148,-0.21772345301757062
rf,y_UUP,4,32,0.0039584636995633506,0.005178144079262924,-0.08930553451768963,0.59375,0.59375,0.14151968432187134,0.06268328445747799
rf,y_UUP,5,28,0.003385189952826322,0.004147331091827008,-0.036560098486503545,0.6071428571428571,0.6071428571428571,0.19828695163261384,0.21237000547345375
rf,y_UUP,6,29,0.0030764790064427786,0.003955496533216628,0.056512324006989134,0.7241379310344828,0.7241379310344828,0.2746186348595995,0.3293509077820823
rf,y_UUP,7,30,0.003364414358129021,0.004221176276227845,0.026619702515615296,0.6333333333333333,0.6333333333333333,0.17751061256023543,0.17310045718416514
rf,y_UUP,8,34,0.003621082293942237,0.0047329144735726815,-0.04519906347789626,0.5,0.5,0.04084567465540004,0.022765469824293352
rf,y_UUP,9,35,0.004774594590051206,0.0067343095509949475,-0.09166324645406232,0.5714285714285714,0.5714285714285714,0.09580754666674283,0.06722689075630252
rf,y_UUP,10,35,0.004905962715826125,0.006808441960109678,-0.017067801163275886,0.5142857142857142,0.5142857142857142,0.09644931130095986,0.1473389355742297
rf,y_UUP,11,35,0.004995804796443953,0.006718683879823703,0.04060153962191804,0.6571428571428571,0.6571428571428571,0.22003641973431845,0.18795518207282913
rf,y_UUP,12,34,0.004079749186555882,0.004852521525183567,0.0645344947108285,0.5,0.5,0.27824084563310664,0.1265184509766221
rf,y_UUP,13,35,0.003392628442914662,0.0040782645873523,0.15834161729202512,0.5428571428571428,0.5428571428571428,0.40210949853531297,0.37815126050420167
rf,y_UUP,14,34,0.00327928799668415,0.004203162790200365,0.09371097976122611,0.5882352941176471,0.5882352941176471,0.3377393688331815,0.38643135570033493
rf,y_UUP,15,34,0.003080073160673021,0.004180324235377803,0.06143035776626793,0.5882352941176471,0.5882352941176471,0.29476245716280614,0.385667355392505
rf,y_UUP,16,33,0.003496721203363906,0.004652373696432779,-0.1322515565287865,0.48484848484848486,0.48484848484848486,-0.17276223760558265,-0.09091668787487604
rf,y_UUP,17,33,0.003445203494597025,0.0043089359614302165,-0.12850870249338042,0.48484848484848486,0.48484848484848486,-0.11861660165238626,-0.00952619707512488
rf,y_UUP,18,34,0.003238295186432085,0.0038888647688006556,-0.13380557448057884,0.47058823529411764,0.47058823529411764,-0.00365305592095781,0.0673848271505922
